id,name,email,password,userType,department
stu001,William Johnson,william.johnson@bilkent.edu.tr,1234,student,ME
stu002,Samuel Carlson,samuel.carlson@bilkent.edu.tr,1234,student,IE
stu003,Gregory Sanchez,gregory.sanchez@bilkent.edu.tr,1234,student,EE
stu004,Adam Mitchell,adam.mitchell@bilkent.edu.tr,1234,student,ME
stu005,Emily Coleman,emily.coleman@bilkent.edu.tr,1234,student,IE
stu006,Angela Brown,angela.brown@bilkent.edu.tr,1234,student,EE
stu007,Tonya York,tonya.york@bilkent.edu.tr,1234,student,CS
stu008,Robert Barrett,robert.barrett@bilkent.edu.tr,1234,student,ME
stu009,Heather Wiley,heather.wiley@bilkent.edu.tr,1234,student,IE
stu010,Kimberly Cruz,kimberly.cruz@bilkent.edu.tr,1234,student,CS
stu011,Lewis Hamilton,lewis.hamilton@bilkent.edu.tr,1234,student,EE
stu012,Brian Mcdowell,brian.mcdowell@bilkent.edu.tr,1234,student,CS
stu013,John Hatfield,john.hatfield@bilkent.edu.tr,1234,student,EE
stu014,Shannon Fitzgerald,shannon.fitzgerald@bilkent.edu.tr,1234,student,CS
stu015,Neymar Jr,neymar.jr@bilkent.edu.tr,1234,student,CS
stu016,Novak Djokovic,novak.djokovic@bilkent.edu.tr,1234,student,CS
stu017,Mrs. Diana Holmes,mrs.diana.holmes@bilkent.edu.tr,1234,student,EE
stu018,Neymar Jr,neymar.jr@bilkent.edu.tr,1234,student,IE
stu019,Jesse Patel,jesse.patel@bilkent.edu.tr,1234,student,IE
stu020,Cristiano Ronaldo,cristiano.ronaldo@bilkent.edu.tr,1234,student,IE
stu021,Julia Paul,julia.paul@bilkent.edu.tr,1234,student,ME
stu022,Patricia Smith,patricia.smith@bilkent.edu.tr,1234,student,IE
stu023,Tiger Woods,tiger.woods@bilkent.edu.tr,1234,student,ME
stu024,Heather Rosales,heather.rosales@bilkent.edu.tr,1234,student,EE
stu025,Lindsay Jones,lindsay.jones@bilkent.edu.tr,1234,student,EE
stu026,Ruth Holland,ruth.holland@bilkent.edu.tr,1234,student,EE
stu027,Kimberly Lawson,kimberly.lawson@bilkent.edu.tr,1234,student,CS
stu028,Amanda Schroeder,amanda.schroeder@bilkent.edu.tr,1234,student,CS
stu029,Drew Medina,drew.medina@bilkent.edu.tr,1234,student,IE
stu030,Kylian Mbappé,kylian.mbappé@bilkent.edu.tr,1234,student,CS
stu031,Lisa Dudley,lisa.dudley@bilkent.edu.tr,1234,student,ME
stu032,John Romero,john.romero@bilkent.edu.tr,1234,student,EE
stu033,Dana Richardson,dana.richardson@bilkent.edu.tr,1234,student,ME
stu034,Jonathan Torres,jonathan.torres@bilkent.edu.tr,1234,student,CS
stu035,Kirk Hughes,kirk.hughes@bilkent.edu.tr,1234,student,IE
stu036,Bruno Fernandes,bruno.fernandes@bilkent.edu.tr,1234,student,EE
stu037,Mark Fuentes,mark.fuentes@bilkent.edu.tr,1234,student,ME
stu038,Sherry Martin,sherry.martin@bilkent.edu.tr,1234,student,IE
stu039,Mrs. Lori Fitzgerald DDS,mrs.lori.fitzgerald.dds@bilkent.edu.tr,1234,student,EE
stu040,Gail Beasley,gail.beasley@bilkent.edu.tr,1234,student,EE
stu041,Stephen Harvey,stephen.harvey@bilkent.edu.tr,1234,student,CS
stu042,Joe Rose,joe.rose@bilkent.edu.tr,1234,student,ME
stu043,Vincent Paul,vincent.paul@bilkent.edu.tr,1234,student,ME
stu044,Christopher Sanchez,christopher.sanchez@bilkent.edu.tr,1234,student,CS
stu045,Kimberly Wagner,kimberly.wagner@bilkent.edu.tr,1234,student,EE
stu046,Andrea Black,andrea.black@bilkent.edu.tr,1234,student,CS
stu047,Marc Mclaughlin,marc.mclaughlin@bilkent.edu.tr,1234,student,CS
stu048,Harry Kane,harry.kane@bilkent.edu.tr,1234,student,CS
stu049,Kevin De Bruyne,kevin.de.bruyne@bilkent.edu.tr,1234,student,EE
stu050,Alexis Hernandez,alexis.hernandez@bilkent.edu.tr,1234,student,CS
stu051,Derek Graham DDS,derek.graham.dds@bilkent.edu.tr,1234,student,IE
stu052,Noah Gutierrez,noah.gutierrez@bilkent.edu.tr,1234,student,ME
stu053,Karim Benzema,karim.benzema@bilkent.edu.tr,1234,student,IE
stu054,Cheryl Boone,cheryl.boone@bilkent.edu.tr,1234,student,ME
stu055,Dawn Wood,dawn.wood@bilkent.edu.tr,1234,student,IE
stu056,Tiffany Wheeler,tiffany.wheeler@bilkent.edu.tr,1234,student,EE
stu057,Gregory Mcneil,gregory.mcneil@bilkent.edu.tr,1234,student,ME
stu058,Wyatt Rosario,wyatt.rosario@bilkent.edu.tr,1234,student,CS
stu059,Serena Williams,serena.williams@bilkent.edu.tr,1234,student,ME
stu060,Jeffrey Lee,jeffrey.lee@bilkent.edu.tr,1234,student,ME
stu061,Bethany Smith,bethany.smith@bilkent.edu.tr,1234,student,IE
stu062,Lisa Parker,lisa.parker@bilkent.edu.tr,1234,student,EE
stu063,Steve Davenport,steve.davenport@bilkent.edu.tr,1234,student,EE
stu064,Harry Kane,harry.kane@bilkent.edu.tr,1234,student,IE
stu065,Kobe Bryant,kobe.bryant@bilkent.edu.tr,1234,student,ME
stu066,James Mason,james.mason@bilkent.edu.tr,1234,student,CS
stu067,Nancy Banks,nancy.banks@bilkent.edu.tr,1234,student,CS
stu068,Catherine Welch,catherine.welch@bilkent.edu.tr,1234,student,IE
stu069,Mark Jackson,mark.jackson@bilkent.edu.tr,1234,student,ME
stu070,Angela Ramirez,angela.ramirez@bilkent.edu.tr,1234,student,EE
stu071,Doris Meyer,doris.meyer@bilkent.edu.tr,1234,student,IE
stu072,Usain Bolt,usain.bolt@bilkent.edu.tr,1234,student,EE
stu073,Brandon Rivas,brandon.rivas@bilkent.edu.tr,1234,student,CS
stu074,Colleen Nichols,colleen.nichols@bilkent.edu.tr,1234,student,EE
stu075,Jack Smith,jack.smith@bilkent.edu.tr,1234,student,EE
stu076,Erling Haaland,erling.haaland@bilkent.edu.tr,1234,student,CS
stu077,Karen Chambers,karen.chambers@bilkent.edu.tr,1234,student,EE
stu078,Rachael Henderson,rachael.henderson@bilkent.edu.tr,1234,student,IE
stu079,Eric Meyer,eric.meyer@bilkent.edu.tr,1234,student,EE
stu080,Vicki Mcclain,vicki.mcclain@bilkent.edu.tr,1234,student,IE
stu081,Maxwell Ortega,maxwell.ortega@bilkent.edu.tr,1234,student,ME
stu082,Stephanie Miller,stephanie.miller@bilkent.edu.tr,1234,student,EE
stu083,Erik Williams,erik.williams@bilkent.edu.tr,1234,student,ME
stu084,Robert Jackson,robert.jackson@bilkent.edu.tr,1234,student,CS
stu085,Tammy Fox DDS,tammy.fox.dds@bilkent.edu.tr,1234,student,IE
stu086,Katherine Briggs,katherine.briggs@bilkent.edu.tr,1234,student,ME
stu087,John Walker,john.walker@bilkent.edu.tr,1234,student,IE
stu088,Rafael Nadal,rafael.nadal@bilkent.edu.tr,1234,student,ME
stu089,Toni Kroos,toni.kroos@bilkent.edu.tr,1234,student,IE
stu090,Tara Frazier,tara.frazier@bilkent.edu.tr,1234,student,IE
stu091,Daniel Murphy,daniel.murphy@bilkent.edu.tr,1234,student,ME
stu092,Sadio Mané,sadio.mané@bilkent.edu.tr,1234,student,ME
stu093,Amy Jones DDS,amy.jones.dds@bilkent.edu.tr,1234,student,CS
stu094,Christian Hopkins,christian.hopkins@bilkent.edu.tr,1234,student,CS
stu095,Erling Haaland,erling.haaland@bilkent.edu.tr,1234,student,IE
stu096,Lisa Shaw,lisa.shaw@bilkent.edu.tr,1234,student,ME
stu097,Eric Bray,eric.bray@bilkent.edu.tr,1234,student,CS
stu098,Emma Dalton,emma.dalton@bilkent.edu.tr,1234,student,EE
stu099,Gianluigi Donnarumma,gianluigi.donnarumma@bilkent.edu.tr,1234,student,CS
stu100,Barbara Gibson,barbara.gibson@bilkent.edu.tr,1234,student,EE
stu101,Kim Peters,kim.peters@bilkent.edu.tr,1234,student,IE
stu102,Andrea Nelson,andrea.nelson@bilkent.edu.tr,1234,student,EE
stu103,Ryan Dalton,ryan.dalton@bilkent.edu.tr,1234,student,EE
stu104,Kayla Mann,kayla.mann@bilkent.edu.tr,1234,student,ME
stu105,Charles Perkins,charles.perkins@bilkent.edu.tr,1234,student,EE
stu106,Alice Brown,alice.brown@bilkent.edu.tr,1234,student,CS
stu107,Kimberly Thomas,kimberly.thomas@bilkent.edu.tr,1234,student,CS
stu108,Paulo Dybala,paulo.dybala@bilkent.edu.tr,1234,student,IE
stu109,Julie Martinez,julie.martinez@bilkent.edu.tr,1234,student,ME
stu110,William Ferguson,william.ferguson@bilkent.edu.tr,1234,student,EE
stu111,Scott Baker,scott.baker@bilkent.edu.tr,1234,student,IE
stu112,Amanda Kim,amanda.kim@bilkent.edu.tr,1234,student,ME
stu113,Colleen Dean,colleen.dean@bilkent.edu.tr,1234,student,IE
stu114,Jessica Boyd,jessica.boyd@bilkent.edu.tr,1234,student,IE
stu115,Kimberly Grant,kimberly.grant@bilkent.edu.tr,1234,student,ME
stu116,Terry Garcia,terry.garcia@bilkent.edu.tr,1234,student,EE
stu117,Amanda Ruiz,amanda.ruiz@bilkent.edu.tr,1234,student,IE
stu118,Michael Welch,michael.welch@bilkent.edu.tr,1234,student,ME
stu119,Gary Phillips,gary.phillips@bilkent.edu.tr,1234,student,IE
stu120,Heather Jackson,heather.jackson@bilkent.edu.tr,1234,student,CS
stu121,Latoya Smith,latoya.smith@bilkent.edu.tr,1234,student,ME
stu122,Carol Brown,carol.brown@bilkent.edu.tr,1234,student,ME
stu123,Alisha Butler,alisha.butler@bilkent.edu.tr,1234,student,CS
stu124,Arthur Henry,arthur.henry@bilkent.edu.tr,1234,student,CS
stu125,Kathleen Harris,kathleen.harris@bilkent.edu.tr,1234,student,IE
stu126,Shannon Watson,shannon.watson@bilkent.edu.tr,1234,student,ME
stu127,Joshua Kimmich,joshua.kimmich@bilkent.edu.tr,1234,student,CS
stu128,Jordan Leblanc,jordan.leblanc@bilkent.edu.tr,1234,student,CS
stu129,Matthew Hogan,matthew.hogan@bilkent.edu.tr,1234,student,IE
stu130,Jamie Payne,jamie.payne@bilkent.edu.tr,1234,student,IE
stu131,Robert Strickland,robert.strickland@bilkent.edu.tr,1234,student,ME
stu132,Steven Johnson,steven.johnson@bilkent.edu.tr,1234,student,IE
stu133,Mr. Alan Davis,mr.alan.davis@bilkent.edu.tr,1234,student,IE
