id,name,email,password,userType,department,totalProctoringInDepartment,totalNonDepartmentProctoring,totalWorkload,isPHD,approvedAbsence,waitingAbsenceRequest,isPartTime
ta001,Ryan Escobar,ryan.escobar@bilkent.edu.tr,1234,ta,ME,0,4,16,True,True,False,True
ta002,Monica Cameron,monica.cameron@bilkent.edu.tr,1234,ta,IE,6,4,2,True,False,True,False
ta003,Eric Smith,eric.smith@bilkent.edu.tr,1234,ta,CS,5,4,16,False,True,True,True
ta004,Lauren Perry,lauren.perry@bilkent.edu.tr,1234,ta,EE,4,2,12,False,True,True,True
ta005,Ashley Perez,ashley.perez@bilkent.edu.tr,1234,ta,ME,8,5,10,True,False,True,False
ta006,James French,james.french@bilkent.edu.tr,1234,ta,CS,10,5,18,False,False,True,False
ta007,Gabrielle Baker,gabrielle.baker@bilkent.edu.tr,1234,ta,CS,9,4,20,False,True,True,True
ta008,Romelu Lukaku,romelu.lukaku@bilkent.edu.tr,1234,ta,CS,10,0,9,False,False,False,False
ta009,Aaron Bailey,aaron.bailey@bilkent.edu.tr,1234,ta,CS,4,2,18,True,True,False,False
ta010,Jennifer Miller,jennifer.miller@bilkent.edu.tr,1234,ta,IE,1,2,8,True,True,True,True
ta011,Angela Jarvis,angela.jarvis@bilkent.edu.tr,1234,ta,EE,0,1,19,True,True,True,False
ta012,Andrew Hall,andrew.hall@bilkent.edu.tr,1234,ta,ME,9,1,14,False,False,False,False
ta013,Andrew Wilson,andrew.wilson@bilkent.edu.tr,1234,ta,CS,10,5,14,True,False,False,True
ta014,Sean Reese,sean.reese@bilkent.edu.tr,1234,ta,EE,0,4,11,False,False,True,True
ta015,Mandy Jones,mandy.jones@bilkent.edu.tr,1234,ta,CS,2,3,20,False,False,False,True
ta016,Holly Miller,holly.miller@bilkent.edu.tr,1234,ta,CS,8,4,4,False,True,False,False
ta017,Alexandra Miller,alexandra.miller@bilkent.edu.tr,1234,ta,EE,6,0,14,False,False,True,False
ta018,Catherine Mcconnell,catherine.mcconnell@bilkent.edu.tr,1234,ta,CS,2,2,15,False,True,True,False
ta019,Samantha Griffin,samantha.griffin@bilkent.edu.tr,1234,ta,IE,8,0,4,False,True,False,True
ta020,Kevin Gutierrez,kevin.gutierrez@bilkent.edu.tr,1234,ta,CS,6,4,3,False,True,True,False
ta021,Francis Edwards,francis.edwards@bilkent.edu.tr,1234,ta,IE,4,5,10,False,False,False,False
